Field_Name,Time_Stamp,CO2_ppm,Nitrate_ppm,pH,Temp_C,Moisture_pct,Microbial_Health_Score
Field-G,2025-12-19 08:55,741,17.6,6.9,26.0,33.3,7.7 (Good)
Field-A,2025-11-22 17:10,618,19.2,6.6,18.9,26.7,7.2 (Good)
Field-B,2025-12-17 12:49,832,15.1,5.8,22.2,27.3,6.2 (Fair)
Field-J,2025-11-21 04:42,783,12.7,6.1,18.4,26.4,6.5 (Fair)
Field-C,2025-11-30 00:04,602,25.5,6.7,21.3,35.5,8.3 (Good)
Field-E,2025-12-18 06:05,999,18.4,5.9,20.5,42.7,8.2 (Good)
Field-G,2025-11-29 23:53,785,26.6,6.5,19.4,45.3,9.6 (Excellent)
Field-C,2025-11-24 20:03,420,19.8,6.0,18.8,29.3,5.8 (Fair)
Field-A,2025-11-23 04:18,539,22.0,6.9,26.4,35.8,7.4 (Good)
Field-F,2025-11-21 08:59,586,14.4,7.4,27.3,28.0,5.2 (Fair)
Field-E,2025-11-24 03:28,914,14.9,6.7,21.7,39.9,7.9 (Good)
Field-C,2025-12-15 12:48,474,15.1,7.1,27.6,37.3,5.7 (Fair)
Field-G,2025-11-24 01:09,495,3.0,6.5,26.5,43.7,2.9 (Very Poor)
Field-D,2025-12-12 04:59,599,10.5,7.4,21.3,43.4,4.5 (Poor)
Field-F,2025-11-27 13:47,477,11.5,6.9,27.2,50.4,4.7 (Fair)
Field-C,2025-12-08 19:47,637,3.6,7.6,18.8,48.5,2.5 (Very Poor)
Field-G,2025-11-21 12:35,570,7.7,5.1,23.8,51.5,2.9 (Very Poor)
Field-J,2025-12-04 16:05,470,24.1,6.4,24.3,35.7,6.8 (Good)
Field-D,2025-11-24 14:07,352,20.7,6.0,19.6,48.1,6.3 (Fair)
Field-E,2025-12-19 06:31,1068,16.3,6.3,27.7,26.1,9.4 (Excellent)
Field-J,2025-11-30 01:14,627,7.1,7.8,21.2,26.3,3.2 (Poor)
Field-F,2025-11-24 03:28,683,3.7,5.2,21.4,47.3,3.1 (Poor)
Field-D,2025-11-30 10:03,917,11.6,7.5,25.5,29.6,5.9 (Fair)
Field-A,2025-12-03 02:46,981,26.9,6.5,23.1,30.0,9.9 (Excellent)
Field-J,2025-11-30 04:23,444,27.2,5.9,21.6,44.6,7.1 (Good)
Field-J,2025-12-10 08:01,950,8.8,4.8,20.4,50.3,5.2 (Fair)
Field-H,2025-11-30 06:14,385,21.2,5.1,19.3,28.9,5.4 (Fair)
Field-E,2025-11-23 22:08,1082,8.2,5.0,19.9,30.6,5.9 (Fair)
Field-I,2025-12-16 21:33,1089,21.1,6.3,22.1,35.8,9.9 (Excellent)
Field-G,2025-11-29 23:01,1004,2.7,7.4,21.3,28.7,4.7 (Fair)
Field-E,2025-12-12 19:18,770,12.8,5.8,24.7,45.7,5.4 (Fair)
Field-E,2025-12-05 12:03,659,3.8,4.9,25.9,38.4,3.0 (Very Poor)
Field-B,2025-11-20 13:20,670,11.6,5.4,27.6,32.7,4.9 (Fair)
Field-D,2025-11-25 04:07,1074,21.7,5.5,26.6,25.7,9.1 (Excellent)
Field-A,2025-11-22 05:17,654,5.9,5.4,27.4,41.1,3.3 (Poor)
Field-D,2025-12-15 06:32,1130,22.8,7.7,26.5,32.8,9.6 (Excellent)
Field-B,2025-12-03 23:34,644,23.1,5.5,23.2,28.3,6.7 (Good)
Field-B,2025-11-23 14:03,375,25.9,7.8,20.2,39.5,5.5 (Fair)
Field-C,2025-12-18 15:42,657,25.6,6.1,22.1,27.4,8.7 (Excellent)
Field-H,2025-12-15 15:32,478,16.3,5.9,18.3,39.4,5.0 (Fair)
Field-D,2025-12-15 21:33,554,14.8,7.6,26.5,50.4,5.2 (Fair)
Field-G,2025-12-06 22:30,789,24.2,7.5,18.4,29.5,7.5 (Good)
Field-H,2025-12-04 02:56,495,8.3,6.4,18.3,42.6,4.6 (Fair)
Field-G,2025-12-08 06:33,644,7.5,7.6,24.1,28.8,4.0 (Poor)
Field-H,2025-12-13 04:22,464,12.0,6.7,25.9,35.0,4.7 (Fair)
Field-C,2025-12-01 01:12,686,12.7,7.5,26.4,36.1,5.4 (Fair)
Field-A,2025-12-06 08:27,829,23.1,5.4,22.4,40.2,7.8 (Good)
Field-G,2025-12-16 10:26,492,20.7,6.0,20.3,31.9,7.2 (Good)
Field-B,2025-12-07 20:16,634,19.4,7.5,24.1,35.0,6.4 (Fair)
Field-H,2025-11-21 12:37,495,4.9,6.6,22.5,40.8,3.4 (Poor)
Field-D,2025-12-15 00:51,552,6.2,5.0,24.7,42.2,2.5 (Very Poor)
Field-J,2025-12-09 02:30,955,27.2,5.4,18.9,46.5,9.8 (Excellent)
Field-H,2025-12-09 15:01,362,18.5,7.1,18.3,44.1,5.9 (Fair)
Field-H,2025-11-27 02:32,386,22.9,7.2,27.6,38.7,6.4 (Fair)
Field-D,2025-11-23 07:42,353,14.3,5.6,23.1,49.0,3.4 (Poor)
Field-C,2025-12-09 11:25,840,12.3,7.0,23.8,29.8,6.8 (Good)
Field-D,2025-11-26 14:47,669,4.5,5.5,25.0,42.9,2.9 (Very Poor)
Field-J,2025-12-16 09:12,810,2.2,6.6,27.5,26.4,4.8 (Fair)
Field-E,2025-12-16 01:34,932,2.5,5.8,20.8,31.8,4.3 (Poor)
Field-J,2025-12-03 09:52,382,10.8,5.5,21.9,25.7,2.9 (Very Poor)
Field-J,2025-12-10 05:40,970,7.0,5.8,19.6,38.7,5.0 (Fair)
Field-I,2025-12-06 17:29,1125,8.3,5.3,21.8,45.5,6.3 (Fair)
Field-B,2025-12-17 16:46,434,13.1,5.6,25.6,51.0,3.4 (Poor)
Field-H,2025-12-15 10:41,411,22.4,7.0,24.6,38.0,7.1 (Good)
Field-D,2025-11-21 11:39,531,3.5,6.4,24.5,49.2,3.4 (Poor)
Field-F,2025-12-13 21:55,1003,4.4,6.0,25.6,26.5,6.6 (Good)
Field-A,2025-11-26 17:49,1042,4.6,5.3,21.3,26.5,5.5 (Fair)
Field-F,2025-12-10 21:55,967,14.0,7.0,20.5,26.4,8.4 (Good)
Field-B,2025-11-23 12:18,1016,7.9,7.4,27.0,35.3,5.5 (Fair)
Field-A,2025-12-06 08:37,1018,21.2,7.2,24.7,28.3,9.9 (Excellent)
Field-G,2025-11-30 13:52,461,18.3,7.6,27.9,40.2,4.6 (Fair)
Field-J,2025-12-11 22:10,872,15.1,5.0,21.9,51.8,6.6 (Good)
Field-D,2025-12-19 05:01,550,24.4,7.5,24.0,40.4,6.1 (Fair)
Field-D,2025-12-18 19:13,423,10.8,5.1,21.6,45.6,3.3 (Poor)
Field-G,2025-12-02 03:07,440,15.7,5.1,20.2,29.3,4.2 (Poor)
Field-H,2025-12-11 15:13,1127,11.5,6.3,24.7,40.1,8.3 (Good)
Field-H,2025-11-29 17:11,924,21.2,7.7,23.2,27.5,7.8 (Good)
Field-F,2025-11-21 21:19,973,20.5,5.2,19.4,45.5,8.0 (Good)
Field-C,2025-12-10 16:47,892,4.1,6.0,21.5,35.8,5.5 (Fair)
Field-B,2025-11-24 11:12,479,14.6,7.0,23.0,49.7,5.0 (Fair)
Field-E,2025-12-03 15:57,1092,4.9,5.0,21.2,27.2,5.5 (Fair)
Field-F,2025-12-18 01:38,952,10.1,5.1,26.8,32.2,6.1 (Fair)
Field-F,2025-12-11 07:47,612,16.9,7.6,18.5,39.5,5.5 (Fair)
Field-H,2025-11-27 02:26,599,20.7,5.1,21.4,44.9,6.2 (Fair)
Field-E,2025-12-08 17:55,924,6.4,7.2,27.2,47.5,6.3 (Fair)
Field-G,2025-11-30 20:56,413,16.0,6.5,22.4,44.0,5.9 (Fair)
Field-F,2025-12-08 15:30,813,8.0,5.6,24.7,47.4,4.6 (Fair)
Field-A,2025-12-15 20:06,825,6.7,5.9,26.3,40.3,4.2 (Poor)
Field-E,2025-12-05 11:16,1058,22.7,5.1,21.0,32.4,8.6 (Excellent)
Field-A,2025-11-30 11:19,660,24.2,6.9,23.2,46.9,8.8 (Excellent)
Field-G,2025-12-09 12:05,666,15.6,6.3,24.5,27.0,6.2 (Fair)
Field-A,2025-12-03 16:16,1148,20.6,5.4,19.9,39.8,9.0 (Excellent)
Field-A,2025-12-09 14:22,371,24.9,7.5,19.1,45.4,5.9 (Fair)
Field-B,2025-12-17 11:29,874,22.0,7.7,24.3,43.4,7.9 (Good)
Field-C,2025-11-22 19:40,914,10.1,7.1,25.3,45.1,6.8 (Good)
Field-D,2025-11-21 01:53,595,7.1,5.5,18.8,35.9,3.1 (Poor)
Field-E,2025-12-12 03:14,1095,21.5,5.5,23.4,48.8,9.0 (Excellent)
Field-B,2025-12-03 06:29,573,3.5,5.5,19.3,25.2,2.4 (Very Poor)
Field-I,2025-11-20 08:00,812,26.7,7.6,19.3,50.3,8.8 (Excellent)
Field-H,2025-12-11 22:00,651,4.5,6.4,18.3,40.6,4.3 (Poor)
Field-H,2025-11-28 16:20,419,3.8,5.6,27.4,30.1,1.4 (Very Poor)
Field-E,2025-11-30 08:53,621,5.5,6.6,21.4,27.3,4.1 (Poor)
Field-H,2025-11-29 07:39,452,17.1,6.1,22.5,49.6,6.1 (Fair)
Field-B,2025-11-29 02:45,938,5.8,6.8,22.4,32.0,6.4 (Fair)
Field-D,2025-12-19 23:47,686,24.8,6.3,25.7,31.0,8.3 (Good)
Field-C,2025-12-14 22:08,1091,10.3,7.3,21.1,32.5,6.5 (Fair)
Field-J,2025-11-25 17:51,1006,17.0,5.2,24.8,51.2,7.1 (Good)
Field-H,2025-11-21 05:56,987,21.3,4.9,22.9,41.1,8.3 (Good)
Field-D,2025-11-25 07:57,1027,3.5,4.8,27.0,38.4,4.6 (Fair)
Field-H,2025-12-18 10:04,390,25.1,6.2,27.9,51.4,6.8 (Good)
Field-G,2025-12-01 11:07,501,4.8,6.8,26.1,45.9,4.1 (Poor)
Field-F,2025-12-03 22:13,502,20.4,4.9,18.7,28.1,5.7 (Fair)
Field-E,2025-11-22 11:45,1123,17.4,7.7,26.3,37.1,7.9 (Good)
Field-A,2025-12-04 22:00,445,2.9,7.8,24.5,51.7,1.8 (Very Poor)
Field-I,2025-12-12 20:48,480,18.4,5.4,20.9,47.9,4.6 (Fair)
Field-H,2025-12-15 16:14,957,12.7,6.2,20.0,46.6,8.1 (Good)
Field-A,2025-11-28 08:59,398,12.9,6.0,21.3,34.1,4.9 (Fair)
Field-I,2025-11-29 11:50,785,10.3,7.3,23.2,46.1,5.1 (Fair)
Field-D,2025-11-26 19:19,643,19.5,6.5,21.9,37.6,7.4 (Good)
Field-H,2025-12-11 08:28,1136,25.5,5.4,19.2,49.7,9.9 (Excellent)
Field-E,2025-12-17 17:02,1047,22.9,6.3,26.4,43.0,9.8 (Excellent)
Field-C,2025-12-07 12:54,665,17.3,7.2,19.7,38.7,6.9 (Good)
Field-I,2025-11-28 00:27,645,2.4,6.5,27.2,30.3,4.2 (Poor)
Field-G,2025-12-11 07:02,838,26.5,5.1,20.6,32.7,8.6 (Excellent)
Field-G,2025-12-08 19:17,432,8.8,4.8,22.9,28.0,3.0 (Very Poor)
Field-G,2025-11-21 03:13,842,8.4,7.6,18.5,33.8,4.7 (Fair)
Field-A,2025-12-01 01:12,557,22.4,5.8,24.5,27.2,6.6 (Good)
Field-E,2025-12-07 12:49,422,20.4,5.1,25.5,51.7,4.9 (Fair)
Field-D,2025-12-09 15:22,763,13.7,5.4,25.6,28.7,5.3 (Fair)
Field-I,2025-12-06 20:11,808,20.6,6.7,24.0,32.7,8.4 (Good)
Field-B,2025-12-07 02:06,1047,3.5,7.4,19.2,43.4,4.8 (Fair)
Field-G,2025-11-25 17:22,692,26.4,6.3,18.0,25.2,8.8 (Excellent)
Field-I,2025-12-13 02:32,752,27.0,6.3,25.1,33.8,9.7 (Excellent)
Field-H,2025-12-01 12:44,878,13.4,7.2,18.3,33.5,7.6 (Good)
Field-J,2025-12-16 13:53,715,9.3,7.1,24.3,48.7,5.2 (Fair)
Field-G,2025-12-04 18:06,479,4.5,5.0,25.4,33.6,2.1 (Very Poor)
Field-A,2025-12-02 07:02,568,16.4,5.7,21.4,42.2,5.1 (Fair)
Field-G,2025-12-10 04:59,843,26.2,5.7,25.5,36.4,8.2 (Good)
Field-A,2025-11-25 10:12,669,8.4,5.8,27.2,44.8,4.0 (Poor)
Field-E,2025-12-06 14:37,734,25.6,7.6,27.4,47.3,8.1 (Good)
Field-D,2025-12-09 03:11,694,13.8,6.7,23.3,32.8,6.2 (Fair)
Field-I,2025-11-25 06:39,735,18.2,7.4,27.9,28.6,6.5 (Fair)
Field-C,2025-12-01 00:33,1007,24.1,7.4,27.9,41.3,9.4 (Excellent)
Field-A,2025-12-11 22:04,918,4.3,7.0,21.6,41.2,5.4 (Fair)
Field-B,2025-11-27 23:50,555,25.8,6.8,20.2,30.8,7.6 (Good)
Field-D,2025-12-05 11:16,728,3.9,4.8,24.4,33.4,3.4 (Poor)
Field-A,2025-12-07 15:12,860,11.5,7.1,25.3,38.8,6.4 (Fair)
Field-G,2025-11-20 22:43,517,9.3,5.1,24.4,46.5,3.7 (Poor)
Field-H,2025-11-20 10:45,356,18.5,7.5,21.6,46.8,4.1 (Poor)
Field-I,2025-12-17 07:57,366,20.2,5.6,23.5,46.4,5.3 (Fair)
Field-A,2025-12-13 00:56,1036,9.5,5.0,22.9,34.1,6.3 (Fair)
Field-I,2025-11-23 00:06,847,4.3,6.8,25.4,35.8,5.5 (Fair)
Field-B,2025-12-15 05:36,724,24.0,6.2,22.6,50.3,8.6 (Excellent)
Field-I,2025-12-14 03:13,952,11.5,6.8,19.0,50.5,6.9 (Good)
Field-I,2025-11-23 05:23,637,14.9,5.3,23.5,39.1,4.9 (Fair)
Field-D,2025-12-11 11:33,528,23.9,5.2,23.1,35.5,6.1 (Fair)
Field-J,2025-12-08 19:35,988,18.9,5.5,27.2,34.9,7.5 (Good)
Field-C,2025-12-09 23:27,673,21.7,6.2,24.6,37.8,8.3 (Good)
Field-B,2025-12-08 08:06,834,4.6,7.3,20.6,43.9,4.1 (Poor)
Field-A,2025-11-25 04:04,479,17.1,7.1,22.0,26.5,6.3 (Fair)
Field-H,2025-12-13 20:20,579,21.7,6.8,23.0,40.6,7.7 (Good)
Field-J,2025-12-14 00:43,629,15.3,7.1,21.8,51.5,6.6 (Good)
Field-C,2025-12-17 05:47,762,15.0,5.8,19.8,30.6,6.3 (Fair)
Field-J,2025-12-08 10:07,1031,21.4,7.0,24.1,47.8,9.9 (Excellent)
Field-F,2025-12-13 06:38,997,4.6,6.6,24.3,33.9,5.9 (Fair)
Field-F,2025-11-23 02:05,821,7.7,6.0,21.7,43.8,6.2 (Fair)
Field-G,2025-11-29 13:04,452,3.5,7.1,26.6,50.7,3.3 (Poor)
Field-G,2025-11-21 06:28,791,19.1,7.7,22.7,38.9,7.3 (Good)
Field-A,2025-12-05 11:07,767,3.5,6.1,18.2,47.4,5.2 (Fair)
Field-D,2025-12-09 02:41,640,13.6,7.3,24.6,44.2,5.1 (Fair)
Field-G,2025-12-06 07:27,545,21.6,6.9,18.9,47.9,6.9 (Good)
Field-B,2025-11-21 23:05,686,9.3,6.6,25.8,32.7,5.2 (Fair)
Field-H,2025-11-25 20:46,393,21.3,4.9,21.6,46.2,5.0 (Fair)
Field-A,2025-12-18 04:53,406,19.1,5.1,27.7,50.2,4.8 (Fair)
Field-C,2025-12-06 16:17,531,13.1,5.4,19.7,38.0,4.0 (Poor)
Field-D,2025-12-18 16:58,852,6.5,5.5,23.8,42.3,5.1 (Fair)
Field-H,2025-11-21 07:23,947,17.1,7.3,18.7,47.1,7.0 (Good)
Field-B,2025-11-20 08:43,914,21.9,6.5,18.2,32.6,9.5 (Excellent)
Field-D,2025-12-06 13:07,641,16.7,6.1,23.4,30.8,6.9 (Good)
Field-D,2025-12-08 10:21,496,15.6,6.0,24.9,49.1,5.4 (Fair)
Field-C,2025-11-25 01:35,879,6.7,6.8,18.4,39.0,6.2 (Fair)
Field-B,2025-11-23 03:22,351,6.4,6.3,18.8,40.1,3.6 (Poor)
Field-G,2025-12-15 02:55,816,21.6,5.9,20.3,49.7,7.2 (Good)
Field-G,2025-11-21 23:33,654,27.4,6.9,20.8,44.7,9.4 (Excellent)
Field-A,2025-11-30 19:46,482,24.6,5.4,19.9,51.4,6.4 (Fair)
Field-C,2025-11-21 14:47,635,26.1,5.5,19.9,32.2,7.7 (Good)
Field-D,2025-12-01 17:32,1063,6.2,5.1,21.7,26.3,6.1 (Fair)
Field-A,2025-11-21 17:50,411,20.5,7.8,21.4,33.4,5.1 (Fair)
Field-D,2025-11-24 15:24,825,14.2,6.9,23.2,49.6,6.9 (Good)
Field-D,2025-11-30 20:20,411,22.5,7.4,22.9,30.4,5.2 (Fair)
Field-D,2025-11-22 13:23,1050,2.8,5.5,18.8,30.8,4.6 (Fair)
Field-A,2025-12-14 09:39,937,25.4,7.1,26.7,46.4,9.9 (Excellent)
Field-B,2025-12-08 00:06,858,6.7,7.5,20.7,27.2,4.5 (Poor)
